PMID,year,journal,title,sentence_count,species_context,genes,themes
38246245,2025,Journal of advanced research,Alanine metabolism mediates energy allocation of the brown planthopper to adapt to resistant rice.,32,BPH,Bph2;Bph1;Bph14;Bph15;Bph17;Bph3,次生代谢与挥发性防御;生长防御权衡与农艺环境;遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
39853648,2025,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",An Insect Effector Mimics Its Host Immune Regulator to Undermine Plant Immunity.,24,BPH,OsGF14e;Nl14;OsGF14e-EDR1l;OsEDR1l;OsSLR1;Bph14;OsGF14e-EDR1,宿主免疫、肽信号与昆虫效应子;激素、氧化还原与信号调控;生长防御权衡与农艺环境;遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
40303855,2025,Frontiers in plant science,Role of carbohydrate-active enzymes in brown planthopper virulence and adaptability.,20,BPH,Bph2;Bph3;Bph4,宿主免疫、肽信号与昆虫效应子;病毒-媒介-水稻三方互作;遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
39779696,2025,Nature communications,Nymphal feeding suppresses oviposition-induced indirect plant defense in rice.,16,BPH,,宿主免疫、肽信号与昆虫效应子;次生代谢与挥发性防御;激素、氧化还原与信号调控;生长防御权衡与农艺环境
40042898,2025,Proceedings of the National Academy of Sciences of the United States of America,A WRKY transcription factor confers broad-spectrum resistance to biotic stresses and yield stability in rice.,9,BPH;SBPH;WBPH,OsWRKY36;OsWRKY36-KO;OsWRKY36-OE;OsWRKY36-overexpressing;OsPAL8;OsPAL6,次生代谢与挥发性防御;生长防御权衡与农艺环境;韧皮部取食界面与结构防御
40082317,2025,"Rice (New York, N.Y.)",Revealing Genomic Traits and Evolutionary Insights of Oryza officinalis from Southern China Through Genome Assembly and Transcriptome Analysis.,7,BPH,OsMAPK20-5;OsF3H;OsMPK14,次生代谢与挥发性防御;激素、氧化还原与信号调控
40257666,2025,Advanced biotechnology,Nepenthes chitinase NkChit2b- 1 confers broad-spectrum resistance to chitin-containing pathogens and insects in plants.,4,BPH,NkChit2b-1,韧皮部取食界面与结构防御
39817336,2025,Pest management science,The cross-resistance to etofenprox in Nilaparvata lugens with a high adaptability to resistant rice variety IR56.,4,BPH,,次生代谢与挥发性防御
39976729,2025,TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik,Exploring resistance mechanisms and identifying QTLs for brown planthopper in tropical and subtropical rice (Oryza sativa L.) germplasm.,4,BPH,,遗传定位、克隆与抗源部署
40004225,2025,International journal of molecular sciences,Transcriptome Analysis and Resistance Identification of bar and BPH9 Co-Transformation Rice.,3,BPH,Bph9,遗传定位、克隆与抗源部署
