candidate_gene,sentence_count,unique_pmids,top_traits,top_journals,pmids
TN1,32,28,,PloS one; Insects; International journal of molecular sciences; Frontiers in plant science; Frontiers in physiology,20609275;21655219;23228240;23434671;24911169;26211618;26313963;27990147;28652621;28973571;29321899;30551584;31072035;31226788;31468345;32532001;32853293;32903256;33041873;34680617
Bph3,16,15,,"Rice (New York, N.Y.); Viruses; International journal of molecular sciences; BMC plant biology; Plant biotechnology journal",22083132;24280452;27246014;28973571;29503500;30486776;31086482;31165331;31226788;32074964;34960733;35458398;35576158;37752622;39558244
Bph14,15,14,,"Pest management science; Rice (New York, N.Y.); Breeding science; Plant communications; International journal of molecular sciences",20018701;21254325;24273431;26403182;27704482;27933072;30486776;31915875;32418333;33201594;36987076;37569437;39397365;39964588
Bph15,10,10,,"Frontiers in plant science; TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik; Pest management science; Plants (Basel, Switzerland); Plant physiology",15549231;21254325;23589438;24033867;27704482;27933072;31915875;36755501;36987076;38023936
Bph1,13,9,,PloS one; Frontiers in genetics; TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik; International journal of molecular sciences; Scientific reports,15032948;18553105;18612237;24911169;31226788;31575938;31915875;32853293;35719377
Xa21,7,6,,"Rice (New York, N.Y.); International journal of molecular sciences; Plant physiology; Plant communications",25844112;32074964;32472217;32825202;35576158;36755501
Xa23,6,6,,"Plant communications; Rice (New York, N.Y.); Plant physiology; Pest management science",31165331;31915945;33201594;35576158;36755501;39397365
P450,6,5,,"PloS one; Plants (Basel, Switzerland); Insect molecular biology; Bulletin of entomological research; Archives of insect biochemistry and physiology",15898115;20609275;28543984;32903256;35956485
BPH29,6,5,,Journal of experimental botany; Plant communications; TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik; Frontiers in genetics,26136269;29373714;31850073;32040676;35576158
H2O2,5,5,,"Frontiers in plant science; Nature communications; Plants (Basel, Switzerland); Plant signaling & behavior",27031005;29104585;33182659;38023936;38167823
Pi9,5,5,,"Plant communications; Plants (Basel, Switzerland); Pest management science; Rice (New York, N.Y.); TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik",31915875;33201594;34494175;36987076;39397365
BPH14,5,5,,Frontiers in plant science; PeerJ; The Plant cell; BMC genomics,27025496;29093216;32211240;37615020;37731986
bph2,5,5,,PloS one; International journal of molecular sciences; Journal of insect science (Online); Environmental entomology; Yi chuan xue bao = Acta genetica Sinica,16939006;26313963;28973571;31226788;32853293
CO2,6,4,,"Proceedings of the National Academy of Sciences, India. Section B; Biology; Scientific reports; Planta",27334025;29568154;33903626;35741403
OsWRKY45,5,4,,International journal of molecular sciences; Frontiers in plant science; Insects; The plant pathology journal,27258255;30140180;33076419;35126405
IR62,5,4,,"Insects; Field crops research; Crop protection (Guildford, Surrey)",29503500;30393420;34680617;34680677
Cry1C,4,4,,Scientific reports; Plant communications; Pest management science,27444416;33009432;33201594;39397365
OsMYB30,4,4,,Genes; BMC plant biology; Horticulture research; International journal of molecular sciences,34502463;35448951;35591925;38136950
OsPAL6,4,4,,BMC plant biology; Horticulture research; International journal of molecular sciences; Scientific reports,32184449;34502463;35448951;35591925
OsPAL8,4,4,,BMC plant biology; Horticulture research; Plant biotechnology journal; Scientific reports,32184449;34651397;35448951;35591925
ASD7,4,4,,Insects; International journal of molecular sciences; Journal of insect science (Online); Environmental entomology,26313963;28973571;31226788;34680617
Cry1Ab,4,4,,Scientific reports; Frontiers in plant science; PloS one; Transgenic research,21688166;24312218;26734057;27444416
IR22,5,3,,Insects; Field crops research; Frontiers in plant science,29503500;33643348;34680617
OsNCED3,4,3,,Frontiers in plant science; BMC genomics,36064309;38988632;39640997
IR56,4,3,,"International journal of molecular sciences; Plants (Basel, Switzerland)",30551584;31226788;37653845
Bph9,4,3,,Frontiers in plant science; Frontiers in genetics; Yi chuan xue bao = Acta genetica Sinica,16553215;28638401;35899197
Cry1Ac,4,3,,Scientific reports; Plant biotechnology journal,28512299;29855556;34416790
xa5,4,3,,"Rice (New York, N.Y.); International journal of molecular sciences",25844112;32074964;32472217
Bph6,4,3,,Frontiers in plant science; BMC genomics; TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik,20680611;28638401;31159719
BPH9,3,3,,International journal of molecular sciences; Plant communications; Journal of plant physiology,35462224;39397365;40004225
OsLecRK1,3,3,,Plant communications; Pest management science; Journal of experimental botany,32270203;33201594;39397365
snpOS00486,3,3,,"PloS one; Plants (Basel, Switzerland); Frontiers in genetics",35567151;35899197;38241319
OsGRF8,3,3,,The Plant cell; International journal of molecular sciences; Journal of experimental botany,34283216;37176028;38701348
OsPep3,3,3,,"International journal of molecular sciences; Plants (Basel, Switzerland)",35328511;37373546;37571010
Cas9,3,3,,International journal of biological macromolecules; Insect science; Viruses,34696530;36528849;37119891
OsPAL,3,3,,"Plants (Basel, Switzerland); Frontiers in plant science; International journal of molecular sciences",34502463;36212323;37896049
MH63,3,3,,Genes; Ying yong sheng tai xue bao = The journal of applied ecology; Pest management science,21254325;25796912;37239430
CYP71A1,3,3,,"Plants (Basel, Switzerland); iScience; Frontiers in plant science",30233630;32891884;35956485
CYP6ER1,3,3,,Scientific reports; International journal of molecular sciences,27721443;29545538;36012694
