candidate_gene,sentence_count,unique_pmids,top_traits,top_journals,pmids
TN1,290,120,,International journal of molecular sciences; Scientific reports; PloS one; Metabolomics : Official journal of the Metabolomic Society; Frontiers in plant science,15898115;21655219;23228240;23434671;23700450;24244529;24273431;24280452;24533099;24911169;25109872;25141278;25609551;25611813;25995006;26056319;26083713;26136269;26313963;26402675
Bph3,126,62,,"Rice (New York, N.Y.); Breeding science; International journal of molecular sciences; Scientific reports; BMC plant biology",11767535;22083132;23228240;23718009;24280452;26056319;26979747;27246014;27300326;27812236;27876888;27901104;28167821;28436098;28638401;28973571;29282566;29503500;29644569;29893903
Bph14,116,60,,"Rice (New York, N.Y.); International journal of molecular sciences; Breeding science; Nature; Scientific reports",20018701;21254325;23175467;23396040;24273431;24886295;25076167;26403182;26979747;27300326;27704482;27760223;27901104;27933072;28278368;28439066;28638401;28659941;29282566;29633905
Bph1,89,52,,Insects; PloS one; International journal of molecular sciences; Scientific reports; Frontiers in plant science,11767535;15032948;17585380;18553105;18612237;22048639;23434671;23718009;24533099;24870048;24911169;25076167;26056319;27300326;27876888;27901104;28098179;29282566;29629479;29644569
Bph15,92,42,,"Frontiers in plant science; Rice (New York, N.Y.); Scientific reports; PloS one; International journal of molecular sciences",15549231;21254325;23175467;23589438;24033867;24273431;27300326;27704482;27760223;27901104;27933072;28278368;28439066;28638401;28659941;29282566;29644569;29856853;30291462;31086482
bph2,51,34,,Insects; Scientific reports; Journal of advanced research; International journal of molecular sciences; Journal of insect science (Online),11767535;16939006;21779386;22048639;23718009;25076167;26056319;26313963;27300326;27876888;27901104;28167821;28973571;30551584;30976994;31226788;31234788;31695897;32704393;32853293
Bph18,48,30,,"Rice (New York, N.Y.); International journal of molecular sciences; Scientific reports; TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik; Insects",16240104;22048639;23175467;25076167;26019637;26690414;26743769;27300326;27901104;28638401;29282566;29644569;29893903;29974251;30551584;30734457;32853293;34193042;34821791;34874500
H2O2,69,26,,"International journal of molecular sciences; Plants (Basel, Switzerland); Scientific reports; Frontiers in plant science; Advanced science (Weinheim, Baden-Wurttemberg, Germany)",27031005;27258255;28098179;28261260;29695083;30217023;30740564;31226870;33182659;33652695;34830062;34884830;35055947;35295635;35323596;35806046;37240102;37445669;37569437;37762665
Bph6,54,25,,"Rice (New York, N.Y.); International journal of molecular sciences; Frontiers in plant science; BMC genomics; Scientific reports",20680611;27300326;27682162;27901104;28638401;29282566;29358653;30551584;30740564;31086482;31159719;31464583;34821791;35068048;35119102;35290527;35498688;36187783;36675314;36952539
Bph9,63,24,,"Rice (New York, N.Y.); International journal of molecular sciences; Frontiers in plant science; Frontiers in genetics; Plants (Basel, Switzerland)",16553215;22048639;25076167;27901104;28638401;29282566;29893903;30291462;30551584;32937908;34821791;35290527;35498688;35682620;35899197;35956485;36187783;36675314;36952539;37404545
