candidate_gene,sentence_count,unique_pmids,top_traits,top_journals,pmids
TN1,38,18,,"International journal of molecular sciences; BMC plant biology; Rice (New York, N.Y.); Biology; PloS one",14997651;16180760;23228240;24886295;25141278;27760223;31468345;31620116;32238850;32853293;33677774;34829551;34830062;34943188;35897828;37762286;37958711;38136986
Wbph1,6,5,,"BMC plant biology; Microorganisms; Insects; Plants (Basel, Switzerland); PloS one",24886295;32853293;33401742;35886780;38930586
IR22,6,4,,PloS one; Insects; Functional ecology,32603337;33022691;33612910;35886780
Wbph2,4,4,,"Microorganisms; Insects; Plants (Basel, Switzerland); PloS one",32853293;33401742;35886780;38930586
T65,4,3,,"PloS one; Crop protection (Guildford, Surrey); TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik",22048639;30739972;33022691
ADR52,4,3,,"TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik; Rice (New York, N.Y.); Ying yong sheng tai xue bao = The journal of applied ecology",16180760;22048639;27300326
NPR1,3,3,,International journal of molecular sciences; Biology,34943188;35897828;36499636
RP2068,10,2,,"Rice (New York, N.Y.); International journal of molecular sciences",33677774;37762286
OsF3H,9,2,,Scientific reports; International journal of molecular sciences,32895423;36499636
RP2068-18-3-5,6,2,,"Rice (New York, N.Y.); International journal of molecular sciences",33677774;37762286
OxF3H,6,2,,International journal of molecular sciences; Scientific reports,32895423;36499636
OsNPR1,4,2,,Biology; Proceedings of the National Academy of Sciences of the United States of America,34943188;40042898
OsCM,4,2,,"Antioxidants (Basel, Switzerland); Biology",34829563;34943188
cq-9,4,2,,"Biology; Antioxidants (Basel, Switzerland)",34829563;34943188
PR1,3,2,,"Antioxidants (Basel, Switzerland); Frontiers in plant science",34829551;39091314
F14,3,2,,"International journal of molecular sciences; Rice (New York, N.Y.)",33677774;37762286
Wbph6,3,2,,"BMC plant biology; Plants (Basel, Switzerland)",24886295;33401742
H2O2,3,2,,International journal of molecular sciences; Scientific reports,29695083;32238850
PR2,2,2,,"Frontiers in plant science; Antioxidants (Basel, Switzerland)",34829551;39091314
P450,2,2,,International journal of molecular sciences; Biology,34440027;37762286
IR62,2,2,,Insects,35323548;35886780
BPH25,2,2,,Insects; PloS one,32853293;35323548
BPH26,2,2,,Insects; PloS one,32853293;35323548
Bph1,2,2,,Insects; PloS one,32853293;35323548
Bph18,2,2,,Insects; PloS one,32853293;35323548
bph2,2,2,,Insects; PloS one,32853293;35323548
