PMID,sent_id,year,journal,title,doi,text,gene,trait,ontology_id,ontology_type,confidence,evidence_code,source_db
40042898,44469948,2025,Proceedings of the National Academy of Sciences of the United States of America,A WRKY transcription factor confers broad-spectrum resistance to biotic stresses and yield stability in rice.,,"For instance, overexpression of OsNPR1, the key regulatory factor of the SA pathway, enhances the resistance to rice bacterial leaf blight disease and rice blast disease, while reducing the resistance to WBPH.",,,,,,,
40042898,44469959,2025,Proceedings of the National Academy of Sciences of the United States of America,A WRKY transcription factor confers broad-spectrum resistance to biotic stresses and yield stability in rice.,,"In this study, we report that knocking out the transcription factor gene OsWRKY36 in rice enhances the resistance to multiple rice planthopper species including BPH, WBPH, and SBPH, as well as to the rice blast fungus Magnaporthe oryzae.",,,,,,,
39694421,43388196,2025,Insect biochemistry and molecular biology,Expansion of three types of transposon superfamilies within 25 Mya lead to large genome size of a rice insect pest.,,"The brown planthoppers (BPH, Nilaparvata lugens), white backed planthopper (WBPH, Sogatella furcifera) and small brown planthopper (SBPH, Laodelphax striatellus) are widely distributed rice insect pests, causing huge annual yield loss of rice production.",,,,,,,
38921131,41692067,2024,Insects,Heterosis for Interactions between Insect Herbivores and 3-Line Hybrid Rice under Low and High Soil Nitrogen Conditions.,,"Furthermore, we noted that varying numbers of nymphs after multiple generations of infestations can confound certain metrics associated with plant tolerance; therefore, development stages and population sizes should be kept similar across test plants.Finally, our results indicate that the susceptibility of rice to BPH must be avoided to improve rice tolerance, and that high nitrogen conditions, despite improving herbivore fitness, also increase tolerance to herbivores such as WBPH, in agreement with observations for other rice herbivores.",,,,,,,
38488805,40601857,2024,Plant biotechnology journal,Development of a transgenic rice line with strong and broad resistance against four devastating rice viruses through expressing a single hairpin RNA construct.,,"The rice plants were inoculated with respective viruses through specific planthopper vectors: small brown planthopper (SBPH, Laodelphax striatellus) for RBSDV and RSV, white back planthopper (WBPH, Sogatella furcifera) for SRBSDV and brown planthopper (BPH, Nilaparvata lugens) for RRSV.",,,,,,,
38921131,41692012,2024,Insects,Heterosis for Interactions between Insect Herbivores and 3-Line Hybrid Rice under Low and High Soil Nitrogen Conditions.,,"Our results further indicate the effects of nitrogen in accelerating development, reducing the production of macropterous adults, increasing population size and the proportion of surviving females, and increasing the overall biomass of BPH and WBPH on infested rice plants (Figure 1, Figure 2 and Figure 3).",,,,,,,
39091314,42358202,2024,Frontiers in plant science,Gamma-aminobutyric acid treatment promotes resistance against Sogatella furcifera in rice.,,"These results suggested that in normal situation, GABA reduces ROS and induces ions (Fe+, Mg+, and Ca+) accumulation in rice plants.We next evaluated levels of endogenous GABA, succinate, NADPH, and GABA shunt pathway genes (GAD, GABA-T, SSADH) in rice plants in response to challenge with WBPH ( Figure 5 ).",,,,,,,
38535360,40759019,2024,Insects,Heterosis for Resistance to Insect Herbivores in a 3-Line Hybrid Rice System.,,The authors suggested that a limited availability and low genetic diversity of CMS lines and a lack of resistance to sap-sucking insects among parental lines was associated with relatively high planthopper densities in hybrid rice:this included CMS-associated susceptibility to WBPH.,,,,,,,
39091314,42358361,2024,Frontiers in plant science,Gamma-aminobutyric acid treatment promotes resistance against Sogatella furcifera in rice.,,"Another possible mechanism of GABA-mediated WBPH stress reduction in rice is associated with PAL gene regulation, which is responsible for activation of PR genes and SA hormone biosynthesis.",,,,,,,
38921131,41692020,2024,Insects,Heterosis for Interactions between Insect Herbivores and 3-Line Hybrid Rice under Low and High Soil Nitrogen Conditions.,,"In comparison with BPH, the other two herbivores had relatively moderate biomass increases under high nitrogen conditions, and there were several cases of rice overcompensating for WBPH or YSB damage under both fertilizer regimes (indicated by negative plant biomass loss values in Figure 3 and Figure 4) but no cases with BPH (Figure 2).In agreement with previous studies we observed a relatively low frequency of heterosis for resistance to herbivores among 3-line hybrids from the IRRI breeding program.",,,,,,,
